Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
37.743926500,0,1,1,0,0,0,0,1
37.743945000,0,1,1,0,0,0,1,1
38.744156000,0,1,0,0,0,0,1,1
38.744174500,0,1,0,0,0,0,0,1
39.744387500,0,1,1,0,0,0,0,1
39.744393000,0,1,1,1,0,0,0,1
40.744617500,0,1,0,1,0,0,0,1
40.744623000,0,1,0,0,0,0,0,1
41.744843000,0,0,0,0,0,0,0,1
41.744853000,0,0,0,1,0,0,0,1
41.744858000,0,0,0,1,1,0,0,1
41.744862000,0,0,0,1,1,1,0,1
41.744866500,0,0,0,1,1,1,1,1
42.745070500,0,1,0,1,1,1,1,1
42.745080000,0,1,0,0,1,1,1,1
42.745085000,0,1,0,0,0,1,1,1
42.745089500,0,1,0,0,0,0,1,1
42.745093500,0,1,0,0,0,0,0,1
43.745300000,0,0,0,0,0,0,0,1
43.745314500,0,0,0,0,1,0,0,1
44.745530000,0,1,0,0,1,0,0,1
44.745544500,0,1,0,0,0,0,0,1
45.745760500,0,0,0,0,0,0,0,1
45.745781000,0,0,0,0,1,0,0,1
45.745785500,0,0,0,0,1,1,0,1
46.489600000,0,0,0,0,1,1,0,1
